relative_path,profile_index,profile_date,prediction_date,time_difference_days,latitude,longitude,data_mode,depth_metres_prototype,argo_temperature_c,oceanembed_temperature_c
csio/2902766/profiles/D2902766_164.nc,0,2024-06-19,2024-06-19,0,15.886,89.069,D,150.0,14.89052616922479,17.537453779052736
csio/2902766/profiles/D2902766_164.nc,0,2024-06-19,2024-06-19,0,15.886,89.069,D,200.0,12.971178065151461,14.435133823425295
csio/2902766/profiles/D2902766_164.nc,0,2024-06-19,2024-06-19,0,15.886,89.069,D,300.0,11.46844100620319,12.3301068503418
csio/2902766/profiles/D2902766_164.nc,0,2024-06-19,2024-06-19,0,15.886,89.069,D,500.0,9.891920205315941,9.98637054388428
csio/2902766/profiles/D2902766_164.nc,0,2024-06-19,2024-06-19,0,15.886,89.069,D,700.0,8.608592115296052,8.669075001708988
csio/2902766/profiles/D2902766_164.nc,0,2024-06-19,2024-06-19,0,15.886,89.069,D,1000.0,6.956622949696071,7.0639054487304715
csio/2902766/profiles/D2902766_165.nc,0,2024-06-29,2024-06-29,0,16.206,88.775,D,0.0,29.57699966430664,29.54335604553223
csio/2902766/profiles/D2902766_165.nc,0,2024-06-29,2024-06-29,0,16.206,88.775,D,5.0,29.56999969482422,29.45643937225342
csio/2902766/profiles/D2902766_165.nc,0,2024-06-29,2024-06-29,0,16.206,88.775,D,10.0,29.571786131055937,29.36952657318115
csio/2902766/profiles/D2902766_165.nc,0,2024-06-29,2024-06-29,0,16.206,88.775,D,20.0,29.549545114690606,29.195695799255372
csio/2902766/profiles/D2902766_165.nc,0,2024-06-29,2024-06-29,0,16.206,88.775,D,30.0,29.35499935410237,29.021864912414554
csio/2902766/profiles/D2902766_165.nc,0,2024-06-29,2024-06-29,0,16.206,88.775,D,50.0,27.70552107819253,28.6220821182251
csio/2902766/profiles/D2902766_165.nc,0,2024-06-29,2024-06-29,0,16.206,88.775,D,75.0,23.67472909957869,26.21406178283693
